baybay-an Enclitic; ! abandon
sipupudno Enclitic; ! certainly
napudno Enclitic; ! certain
kalagdaan Enclitic; ! certificate
sertipiko Enclitic; ! certificate
pamamalagda Enclitic; ! certify
dukot Enclitic; ! chagrin
kadena Enclitic; ! chain
kawar Enclitic; ! chain
ikadena Enclitic; ! chain
ikawas Enclitic; ! chain
kawar Enclitic; ! chain
pangula Enclitic; ! chairman
pagtugawan Enclitic; ! chair
palangka Enclitic; ! chair
tugaw Enclitic; ! chair
tisa Enclitic; ! chalk
karit Enclitic; ! challenge
karit Enclitic; ! challenge
kuarto Enclitic; ! chamber
siled Enclitic; ! chamber
kampeon Enclitic; ! champion
nangabak Enclitic; ! champion
gasat Enclitic; ! chance
baliwan Enclitic; ! change
ibabaro Enclitic; ! change
masukat Enclitic; ! change
panagbaliw Enclitic; ! change
supli Enclitic; ! change
suplian Enclitic; ! change
kanal Enclitic; ! channel
ayug Enclitic; ! chant
kanta Enclitic; ! chant
panagkanta Enclitic; ! chant
kababalin Enclitic; ! character
uhing Enclitic; ! charcoal
uring Enclitic; ! charcoal
bayad Enclitic; ! charge
pagbayaden Enclitic; ! charge
singiren Enclitic; ! charge
karuahe Enclitic; ! chariot
pagluganan Enclitic; ! chariot
kayaw Enclitic; ! charm
kayawan Enclitic; ! charm
pammalubos Enclitic; ! charter
agkamat Enclitic; ! chase
kamaten Enclitic; ! chase
panangkamat Enclitic; ! chase
panangtiliw Enclitic; ! chase
tiliwen Enclitic; ! chase
nalaka Enclitic; ! cheap
nalaka Enclitic; ! cheap
agsaur Enclitic; ! cheat
alilawen Enclitic; ! cheat
kusiten Enclitic; ! cheat
tseke Enclitic; ! check
agkitkita Enclitic; ! checker
guardia Enclitic; ! checker
kitaen Enclitic; ! check
marka Enclitic; ! check
pagsardengen Enclitic; ! check
ping-ping Enclitic; ! cheek
ping-ping Enclitic; ! cheeks
naladingit Enclitic; ! cheerless
naliday Enclitic; ! cheerless
liliwa Enclitic; ! cheer
ragsak Enclitic; ! cheer
keso Enclitic; ! cheese
kuesa Enclitic; ! cheese
kiso Enclitic; ! cheese
ipateg Enclitic; ! cherish
kastanas Enclitic; ! chestnut
agngalngal Enclitic; ! chew
karat-om Enclitic; ! chew
ngalngalen Enclitic; ! chew
nakilnet Enclitic; ! chewy
manok Enclitic; ! chicken
manok Enclitic; ! chicken
upa Enclitic; ! chicken
lamek Enclitic; ! chill
lamiis Enclitic; ! chill
batingting Enclitic; ! chime
timek Enclitic; ! chime
timid Enclitic; ! chin
paet Enclitic; ! chisel
kayat Enclitic; ! choice
pili Enclitic; ! choice
salunat Enclitic; ! choice
bekkelen Enclitic; ! choke
pasardengen Enclitic; ! choke
agpili Enclitic; ! choose
mapili Enclitic; ! choose
pilien Enclitic; ! choose
managpili Enclitic; ! choosy
agbalsig Enclitic; ! chop
balsihen Enclitic; ! chop
gupongen Enclitic; ! chop
pisien Enclitic; ! chop
tadtaden Enclitic; ! chop
Critiano Enclitic; ! christian
iglesia Enclitic; ! church
simbaan Enclitic; ! church
nagbungkel Enclitic; ! circle
sosiedad Enclitic; ! circle
nagtimbukel Enclitic; ! circular
surat Enclitic; ! circular
agkohit Enclitic; ! circumcise
sursuruan Enclitic; ! civilize
nadayaw Enclitic; ! civil
tunton Enclitic; ! claim
tuntonen Enclitic; ! claim
bennek Enclitic; ! clam
kappo Enclitic; ! clam
nalamilis Enclitic; ! clammy
napigket Enclitic; ! clammy
panagsipat Enclitic; ! clap
sipat Enclitic; ! clap
pananghihem Enclitic; ! clasp
petpetan Enclitic; ! clasp
klas Enclitic; ! class
manmano Enclitic; ! classic
kalse Enclitic; ! class
kita Enclitic; ! class
tagari Enclitic; ! clatter
timek Enclitic; ! clatter
uni Enclitic; ! clatter
kuko Enclitic; ! claw
agkutikut Enclitic; ! clean
agsalingsing Enclitic; ! clean
agwagwag Enclitic; ! clean
ampaten Enclitic; ! clean
dalusan Enclitic; ! clean
agdaldalus Enclitic; ! cleaner
nadalos Enclitic; ! clean
nadalus Enclitic; ! clean
urnongen Enclitic; ! clean
nalawag Enclitic; ! clear
nalitnaw Enclitic; ! clear
naraniag Enclitic; ! clear
eskribiente Enclitic; ! clerk
masirib Enclitic; ! clever
nalaing Enclitic; ! clever
nasaririt Enclitic; ! clever
kanakaliing Enclitic; ! click
ngumato Enclitic; ! climb
sumagpat Enclitic; ! climb
sumang-at Enclitic; ! climb
umuli Enclitic; ! climb
um-uli Enclitic; ! climb
panagngariet Enclitic; ! clinch
panangreppet Enclitic; ! clinch
agbati Enclitic; ! cling
kumpet Enclitic; ! cling
kagay Enclitic; ! cloak
pagkagay Enclitic; ! cloak
relo Enclitic; ! clock
panagtangken Enclitic; ! clog
irikep Enclitic; ! close
nadikket Enclitic; ! close
agdidikket Enclitic; ! closer
agsedsed Enclitic; ! closer
rikpan Enclitic; ! close
seraan Enclitic; ! close
baduan Enclitic; ! clothe
lupotan Enclitic; ! clothe
bado Enclitic; ! clothes
badbado Enclitic; ! clothing
kawes Enclitic; ! clothing
bestido Enclitic; ! clothing
ulap Enclitic; ! cloud
ulep Enclitic; ! cloud
naulep Enclitic; ! cloudy
managpakatawa Enclitic; ! clown
mangrabrabak Enclitic; ! clown
klub Enclitic; ! club
pang-or Enclitic; ! club
pahilasinan Enclitic; ! clue
tanda Enclitic; ! clue
bulig Enclitic; ! cluster
punggos Enclitic; ! cluster
iggaman Enclitic; ! clutch
auto Enclitic; ! coach
mahisuro Enclitic; ! coach
manarabay Enclitic; ! coach
mannursuro Enclitic; ! coach
kinadakkel Enclitic; ! coarseness
kinagaspang Enclitic; ! coarseness
Amerikkaan Enclitic; ! coat
kawitan Enclitic; ! cock
pangkis Enclitic; ! cockeyed
bakalaw Enclitic; ! cod
longon Enclitic; ! coffin
lungon Enclitic; ! coffin
kuarta Enclitic; ! coin
pirak Enclitic; ! coin
barya Enclitic; ! coins
agpanateng Enclitic; ! cold
mahináw Enclitic; ! cold
malamig Enclitic; ! cold
malamiis Enclitic; ! cold
malammin Enclitic; ! cold
nalam-ek Enclitic; ! cold
nalam-ek Enclitic; ! cold
nalamiis Enclitic; ! cold
nalami-is Enclitic; ! cold
nalamin Enclitic; ! cold
nalamis Enclitic; ! cold
nalammin Enclitic; ! cold
margaay Enclitic; ! collapse
marpuog Enclitic; ! collapse
tengnged Enclitic; ! collar
singiren Enclitic; ! collect
tiponen Enclitic; ! collect
matim-og Enclitic; ! collide
maris Enclitic; ! color
apaen Enclitic; ! combat
dangadang Enclitic; ! combat
ranget Enclitic; ! combat
pagmaymaysaen Enclitic; ! combine
pagtiponen Enclitic; ! combine
sagaysay Enclitic; ! comb
datingan Enclitic; ! come
datnan Enclitic; ! come
dumating Enclitic; ! come
makatoi Enclitic; ! come
umay Enclitic; ! come
uneg Enclitic; ! come
nanam-ay Enclitic; ! comfortable
liwliwaen Enclitic; ! comfort
nam-ay Enclitic; ! comfort
pagnam-ayen Enclitic; ! comfort
nakakatkatawa Enclitic; ! comical
komika Enclitic; ! comic
makapagkatawa Enclitic; ! comic
bilinen Enclitic; ! command
iruhi Enclitic; ! commence
kongratulation Enclitic; ! commend
dawayen Enclitic; ! commend
idayaw Enclitic; ! commend
panangdilaw Enclitic; ! comment
ganansia Enclitic; ! commission
gunggona Enclitic; ! commission
italek Enclitic; ! commit
kadawyan Enclitic; ! common
sapasap Enclitic; ! common
kakadwa Enclitic; ! companion
kadua Enclitic; ! companion
kadua Enclitic; ! companion
aglako Enclitic; ! company
pileten Enclitic; ! compel
agsasalisal Enclitic; ! compete
salisalen Enclitic; ! compete
agdayengdeng Enclitic; ! complain
ahipulong Enclitic; ! complain
agriri Enclitic; ! complain
umasug Enclitic; ! complain
anayen Enclitic; ! complete
leppasen Enclitic; ! complete
naan-anay Enclitic; ! complete
buklen Enclitic; ! compose
ammuen Enclitic; ! comprehend
awaten Enclitic; ! comprehend
agkuenta Enclitic; ! compute
idulin Enclitic; ! conceal
ilemmeng Enclitic; ! conceal
akuen Enclitic; ! concede
awaten Enclitic; ! concede
ited Enclitic; ! concede
inawen Enclitic; ! conceive
ipato Enclitic; ! conceive
ipamaysa Enclitic; ! concentrate
tiponen Enclitic; ! concentrate
biang Enclitic; ! concern
maipanghep Enclitic; ! concerning
maipapan Enclitic; ! concerning
isakit Enclitic; ! concern
pannakaseknan Enclitic; ! concern
segga Enclitic; ! concern
konsierto Enclitic; ! concert
leppasen Enclitic; ! conclude
dusaen Enclitic; ! condemn
kasasaad Enclitic; ! condition
ituhod Enclitic; ! conduct
iturong Enclitic; ! conduct
tignay Enclitic; ! conduct
ugali Enclitic; ! conduct
nasam-it Enclitic; ! confection
sinam-it Enclitic; ! confection
makisango Enclitic; ! confer
makisarita Enclitic; ! confer
ipalgak Enclitic; ! confess
ipudno Enclitic; ! confess
nalimed Enclitic; ! confidential
ipupok Enclitic; ! confine
paneknekan Enclitic; ! confirm
patalhedan Enclitic; ! confirm
agawen Enclitic; ! confiscate
panagbinnusor Enclitic; ! conflict
susik Enclitic; ! conflict
kablaawan Enclitic; ! congratulate
pugto Enclitic; ! conjecture
inayon Enclitic; ! connect
isilpo Enclitic; ! connect
makitinnarus Enclitic; ! connive
makitunos Enclitic; ! connive
panangabak Enclitic; ! conquer
skupen Enclitic; ! conquer
managpanunot Enclitic; ! conscientious
naa-naanus Enclitic; ! conscientious
nagahet Enclitic; ! conscientious
nawadwad Enclitic; ! considerable
panunoten Enclitic; ! consider
usihen Enclitic; ! consider
buklen Enclitic; ! consist
nakilnet Enclitic; ! consistent
launen Enclitic; ! consist
agnanayon Enclitic; ! constant
kanayon Enclitic; ! constant
agpatakder Enclitic; ! construct
aramiden Enclitic; ! construct
ipatakder Enclitic; ! construct
imtuoden Enclitic; ! consult
makaalis Enclitic; ! contagious
makaalis Enclitic; ! contagious
buklen Enclitic; ! contain
laonen Enclitic; ! contain
mulitan Enclitic; ! contaminate
ipapilit Enclitic; ! contend
itakderan Enclitic; ! contend
mapnek Enclitic; ! content
maragsakan Enclitic; ! content
naiyebkas Enclitic; ! content
linaon Enclitic; ! contents
nagyan Enclitic; ! contents
naipauneg Enclitic; ! contents
agsasalisal Enclitic; ! contest
salip Enclitic; ! contest
salisal Enclitic; ! contest
salisalen Enclitic; ! contest
ituloy Enclitic; ! continue
maituloy Enclitic; ! continue
maituluy Enclitic; ! continue
sihi Enclitic; ! continue
langa Enclitic; ! contour
urnos Enclitic; ! contour
kontrata Enclitic; ! contract
tulag Enclitic; ! contract
kasupadi Enclitic; ! contrast
gidiat Enclitic; ! contrast
maigdiat Enclitic; ! contrasting
maisupadi Enclitic; ! contrasting
aramiden Enclitic; ! contrive
ipamuspusan Enclitic; ! contrive
panangtengngel Enclitic; ! control
agpapalaing Enclitic; ! convalescent
agpapaungar Enclitic; ! convalescent
mainugot Enclitic; ! convenient
nanamay Enclitic; ! convenient
nasayaat Enclitic; ! convenient
pagbalinen Enclitic; ! convert
pagbaliwen Enclitic; ! convert
ipakaammo Enclitic; ! convey
ipaw-it Enclitic; ! convey
ited Enclitic; ! convey
balud Enclitic; ! convict
awisen Enclitic; ! convince
uyotan Enclitic; ! convince
naragsak Enclitic; ! convivial
narambak Enclitic; ! convivial
agluto Enclitic; ! cook
kosinero Enclitic; ! cook
luto Enclitic; ! cook
naangin Enclitic; ! cool
nalam-ek Enclitic; ! cool
nalamiis Enclitic; ! cool
makikadua Enclitic; ! cooperate
tumulong Enclitic; ! cooperate
polisia Enclitic; ! cop
kopiaen Enclitic; ! copy
tuladen Enclitic; ! copy
kordon Enclitic; ! cord
nabara Enclitic; ! cordial
napasig Enclitic; ! cordial
naragsak Enclitic; ! cordial
lubid Enclitic; ! cord
tali Enclitic; ! cord
kalub Enclitic; ! cork
pulat Enclitic; ! cork
tapon Enclitic; ! cork
bungal Enclitic; ! corn
soli Enclitic; ! corner
suli Enclitic; ! corner
mais Enclitic; ! corn
mais Enclitic; ! corn
rubu Enclitic; ! corn
nagubsang Enclitic; ! corny
husto Enclitic; ! correct
panangatur Enclitic; ! correct
pananglinteg Enclitic; ! correct
tama Enclitic; ! correct
tumpak Enclitic; ! correct
makipagsinnurat Enclitic; ! correspond
nakilo Enclitic; ! corrupt
nalungsot Enclitic; ! corrupt
barikes Enclitic; ! corset
bayad Enclitic; ! cost
gatad Enclitic; ! cost
nangina Enclitic; ! costly
napateg Enclitic; ! costly
kapas Enclitic; ! cotton
kapas Enclitic; ! cotton
kapasanglay Enclitic; ! cotton
pahid-daan Enclitic; ! couch
pagtugawan Enclitic; ! couch
aguyek Enclitic; ! cough
aguyek Enclitic; ! cough
mamagbaga Enclitic; ! counsel
panmagbaga Enclitic; ! counsel
bilang Enclitic; ! count
bilangen Enclitic; ! count
bumilang Enclitic; ! count
rupa Enclitic; ! countenance
isususpadi Enclitic; ! counteract
supringen Enclitic; ! counteract
nayulad Enclitic; ! counterfeit
parbo Enclitic; ! counterfeit
agasawa Enclitic; ! couple
dua Enclitic; ! couple
idalan Enclitic; ! course
palabasen Enclitic; ! course
patarayen Enclitic; ! course
korte Enclitic; ! court
managraem Enclitic; ! courteous
nadayaw Enclitic; ! courteous
pangkukoman Enclitic; ! court
tulag Enclitic; ! covenant
kalub Enclitic; ! cover
kalub Enclitic; ! cover
apalan Enclitic; ! covet
umapal Enclitic; ! covet
natakrot Enclitic; ! cowardly
baka Enclitic; ! cow
agatol Enclitic; ! crab
kappi Enclitic; ! crab
kappi Enclitic; ! crab
bettak Enclitic; ! crack
bettaken Enclitic; ! crack
biri Enclitic; ! crack
buong Enclitic; ! crack
buongen Enclitic; ! crack
gettang Enclitic; ! crack
rumanipak Enclitic; ! cracking
indayon Enclitic; ! cradle
rengngat Enclitic; ! cradle
naalidunget Enclitic; ! cranky
naunget Enclitic; ! cranky
panagdungpar Enclitic; ! crash
panagtupa Enclitic; ! crash
kalaguman Enclitic; ! crave
panghepen Enclitic; ! crave
kalikagum Enclitic; ! craving
pangep Enclitic; ! craving
agkaradap Enclitic; ! crawl
agkarayam Enclitic; ! crawl
kalatkat Enclitic; ! crawl
bagtit Enclitic; ! crazy
baliw Enclitic; ! crazy
bala Enclitic; ! crazy
mait Enclitic; ! crazy
muryot Enclitic; ! crazy
krema Enclitic; ! cream
agaramid Enclitic; ! create
pinarsua Enclitic; ! create
bayadan Enclitic; ! credit
dayaw Enclitic; ! credit
utang Enclitic; ! credit
aglaylayag Enclitic; ! crew
dahiti Enclitic; ! crew
indayon Enclitic; ! crib
kuriat Enclitic; ! cricket
kuriat Enclitic; ! cricket
kuryat Enclitic; ! cricket
nagpukkaw Enclitic; ! cried
nagsangit Enclitic; ! cried
nangayab Enclitic; ! cried
kriminal Enclitic; ! criminal
nagbasol Enclitic; ! criminal
malabbasit Enclitic; ! crimson
nalabaga Enclitic; ! crimson
pilay Enclitic; ! cripple
pilayen Enclitic; ! cripple
dilawen Enclitic; ! criticize
usihen Enclitic; ! criticize
apiten Enclitic; ! crop
dahiti Enclitic; ! crop
agtalaytay Enclitic; ! cross
bumalasiw Enclitic; ! cross
nagsabatan Enclitic; ! crossing
kurus Enclitic; ! cross
lumasat Enclitic; ! cross
agtaraok Enclitic; ! crow
balangat Enclitic; ! crown
balangatan Enclitic; ! crown
korona Enclitic; ! crown
koronaan Enclitic; ! crown
nslbb Enclitic; ! crow
wak Enclitic; ! crow
naranggas Enclitic; ! cruel
naulpit Enclitic; ! cruel
bassit Enclitic; ! crumb
margaay Enclitic; ! crumbling
matulid Enclitic; ! crumbling
regreg Enclitic; ! crumb
sangkabassit Enclitic; ! crumb
marigmig Enclitic; ! crumbs
nakunes Enclitic; ! crumpled
maipit Enclitic; ! crush
nalipit Enclitic; ! crush
pabassiten Enclitic; ! crush
rumeken Enclitic; ! crush
aglua Enclitic; ! cry
agsangit Enclitic; ! cry
ayab Enclitic; ! cry
nagsangsangit Enclitic; ! crying
pukkaw Enclitic; ! cry
sangit Enclitic; ! cry
punios Enclitic; ! cuff
patanoren Enclitic; ! cultivate
sukayen Enclitic; ! cultivate
adal Enclitic; ! culture
bingayen Enclitic; ! culture
sursuro Enclitic; ! culture
managdakes Enclitic; ! cunning
masirib Enclitic; ! cunning
baso Enclitic; ! cup
tasa Enclitic; ! cup
agas Enclitic; ! cure
agasan Enclitic; ! cure
paimbahen Enclitic; ! cure
pangpaimbagan Enclitic; ! cure
kulot Enclitic; ! curly
agdama Enclitic; ! current
ayus Enclitic; ! current
koriente Enclitic; ! current
ilonggo Enclitic; ! curse
ilunod Enclitic; ! curse
irurumen Enclitic; ! curse
mabiit Enclitic; ! cursory
kortina Enclitic; ! curtain
kurtina Enclitic; ! curtain
linged Enclitic; ! curtain
kurba Enclitic; ! curve
kilo Enclitic; ! curve
sikko Enclitic; ! curve
koltson Enclitic; ! cushion
pungan Enclitic; ! cushion
kadawyan Enclitic; ! custom
ugali Enclitic; ! custom
hiwain Enclitic; ! cut
iwaiwa Enclitic; ! cut
matikapan Enclitic; ! cut
naputed Enclitic; ! cut
natukkol Enclitic; ! cut
panagputed Enclitic; ! cut
pisien Enclitic; ! cut
puted Enclitic; ! cut
putulin Enclitic; ! cut
sugat Enclitic; ! cut
aglikmot Enclitic; ! cycle
nagbukel Enclitic; ! cycle
panagpusipos Enclitic; ! cycle
agduadua Enclitic; ! cynical
inaldaw Enclitic; ! daily
bassit Enclitic; ! dainty
nadalus Enclitic; ! dainty
dadaelen Enclitic; ! damage
dael Enclitic; ! damage
pukaw Enclitic; ! damage
lapdan Enclitic; ! damn
pasardengen Enclitic; ! damn
babasaen Enclitic; ! damp
nabasa Enclitic; ! damp
nadam-eg Enclitic; ! damp
padam-ehen Enclitic; ! damp
palamiisen Enclitic; ! damp
puttot Enclitic; ! dam
tambak Enclitic; ! dam
tambak Enclitic; ! dam
agsala Enclitic; ! dance
sala Enclitic; ! dance
sumasala Enclitic; ! dance
usar Enclitic; ! dance
napeggad Enclitic; ! dangerous
karit Enclitic; ! dare
kariten Enclitic; ! dare
padas Enclitic; ! dare
padasen Enclitic; ! dare
pakudrepen Enclitic; ! darken
pasipngeten Enclitic; ! darken
nadilem Enclitic; ! dark
nalimed Enclitic; ! dark
nasignet Enclitic; ! dark
nasipnget Enclitic; ! dark
kaayan-ayat Enclitic; ! darling
kasimpungalan Enclitic; ! darling
daiten Enclitic; ! darn
susiran Enclitic; ! darn
gayang Enclitic; ! dart
pana Enclitic; ! dart
mabilang Enclitic; ! date
agbulakbol Enclitic; ! dawdle
parbangon Enclitic; ! dawn
arapaap Enclitic; ! daydream
tagtagainep Enclitic; ! daydream
ulaw Enclitic; ! daze
natay Enclitic; ! dead
natayen Enclitic; ! dead
sul-ot Enclitic; ! deaf
tuleng Enclitic; ! deaf
ilako Enclitic; ! deal
isukat Enclitic; ! deal
makikadua Enclitic; ! deal
dungngo Enclitic; ! dear
nangina Enclitic; ! dear
napateg Enclitic; ! dear
agnanayon Enclitic; ! deathless
debate Enclitic; ! debate
panagsinnungbat Enclitic; ! debate
sinnupiat Enclitic; ! debate
rupsa Enclitic; ! decay
alilawen Enclitic; ! deceive
ulboden Enclitic; ! deceive
ikeddeng Enclitic; ! decide
kedngan Enclitic; ! decide
kawesan Enclitic; ! deck
ipalawag Enclitic; ! declare
panagbaba Enclitic; ! decline
tubngaren Enclitic; ! decline
arkosan Enclitic; ! decorate
papintasen Enclitic; ! decorate
pangalilaw Enclitic; ! decoy
kissayan Enclitic; ! decrease
pabassiten Enclitic; ! decrease
bilin Enclitic; ! decree
keddeng Enclitic; ! decree
linteng Enclitic; ! decree
daan Enclitic; ! decrepit
nalupoy Enclitic; ! decrepit
rutrot Enclitic; ! decrepit
isangit Enclitic; ! decry
lahidawen Enclitic; ! decry
ipagarup Enclitic; ! deem
ipahanethet Enclitic; ! deem
adalem Enclitic; ! deep
paunehen Enclitic; ! deepen
nauneg Enclitic; ! deep
piltakan Enclitic; ! deface
pannakaabak Enclitic; ! defeat
kurang Enclitic; ! defect
kinadakes Enclitic; ! defect
aganawa Enclitic; ! defend
agpannuray Enclitic; ! defend
ikanawa Enclitic; ! defend
isalakan Enclitic; ! defend
sumayag Enclitic; ! deflected
sauren Enclitic; ! defraud
ulboden Enclitic; ! defraud
kariten Enclitic; ! defy
agtaktak Enclitic; ! delay
gabay Enclitic; ! delay
pannakaitantan Enclitic; ! delay
pannakabahi Enclitic; ! delegate
representante Enclitic; ! delegate
dadaelen Enclitic; ! delete
ikkaten Enclitic; ! delete
naalikaka Enclitic; ! delicate
narasi Enclitic; ! delicate
narukop Enclitic; ! delicate
imas Enclitic; ! delicious
naimas Enclitic; ! delicious
nananam Enclitic; ! delicious
makaliwliwa Enclitic; ! delight
makaparagsak Enclitic; ! delight
managbaybay-a Enclitic; ! delinquent
agamamangaw Enclitic; ! delirious
alaen Enclitic; ! deliver
ipasugay Enclitic; ! deliver
isalakan Enclitic; ! deliver
panangyawat Enclitic; ! deliver
kiddaw Enclitic; ! demand
ipakita Enclitic; ! demonstrate
ipalawag Enclitic; ! demonstrate
ipasirmata Enclitic; ! demonstrate
ibaga Enclitic; ! denounce
ipulong Enclitic; ! denounce
adu Enclitic; ! dense
napuskol Enclitic; ! dense
nasamek Enclitic; ! dense
lukasan Enclitic; ! denude
ussoban Enclitic; ! denude
ilemmeng Enclitic; ! deny
ilenged Enclitic; ! deny
ilibak Enclitic; ! deny
agluas Enclitic; ! depart
pumanaw Enclitic; ! depart
taraken Enclitic; ! dependent
iladawan Enclitic; ! depict
ipakita Enclitic; ! depict
babalawen Enclitic; ! deplore
ladingiten Enclitic; ! deplore
ikkaten Enclitic; ! depose
deposito Enclitic; ! deposit
pagurnongan Enclitic; ! deposit
dakes Enclitic; ! depraved
nakila Enclitic; ! depraved
masmasnaayan Enclitic; ! depressed
naldingit Enclitic; ! depressed
naliday Enclitic; ! depressed
alaen Enclitic; ! deprive
aonen Enclitic; ! deprive
ibabawi Enclitic; ! deprive
ipaidam Enclitic; ! deprive
bimmaba Enclitic; ! derelict
daksanggasat Enclitic; ! derelict
nabaybay-an Enclitic; ! derelict
agsalong Enclitic; ! descend
naggapuan Enclitic; ! descendant
nagtaudan Enclitic; ! descendant
bumaba Enclitic; ! descend
dumsang Enclitic; ! descend
sumalog Enclitic; ! descend
umulog Enclitic; ! descend
iladawan Enclitic; ! describe
isarita Enclitic; ! describe
isurat Enclitic; ! describe
salaysayen Enclitic; ! describe
baybayan Enclitic; ! desert
ibati Enclitic; ! desert
